model,timestamp,gross_return,turnover,net_return,gross_cumulative_return,net_cumulative_return
KNN,1631601960,-0.0018095371779054403,1.3333333333333333,-0.0031428705112387734,0.1643205187081438,-0.8716145718536468
KNN,1631603160,-0.0007594923372380435,2.0,-0.0027594923372380436,0.163436226196096,-0.8719688504588297
KNN,1631604360,0.001125256298109889,1.3333333333333333,-0.00020807703522344426,0.16474539013707235,-0.8719954908008424
KNN,1631605560,0.006035844329744577,1.6666666666666665,0.00436917766307791,0.17177561199572744,-0.8714362163584761
KNN,1631606760,0.0025419396115466952,1.6666666666666665,0.0008752729448800287,0.17475419483970378,-0.8713236879569634
KNN,1631607960,-0.0001698136329650879,2.0,-0.002169813632965088,0.17455470556203712,-0.871602891573074
KNN,1631609160,0.0007193883357103914,1.6666666666666665,-0.0009472783309562752,0.17539966651687222,-0.8717245193716443
KNN,1631610360,0.0007557571225333959,1.6666666666666665,-0.0009109095441332707,0.17628798318666572,-0.8718413667312269
KNN,1631611560,0.0011280477046966553,1.6666666666666665,-0.0005386189619700113,0.17761489214616177,-0.8719103954012457
KNN,1631612760,-0.0009574194555170834,2.0,-0.0029574194555170834,0.17648742073731438,-0.8722892100899355
KNN,1631613960,-0.001556416362291202,2.0,-0.003556416362291202,0.17465631646564894,-0.8727434028328128
KNN,1631615160,0.002050896408036351,1.6666666666666665,0.00038422974136968465,0.17706541488576555,-0.8726945070633957
KNN,1631616360,0.002788762329146266,1.0,0.001788762329146266,0.18034797057373986,-0.8724667877933372
KNN,1631617560,-0.0019968350825365633,1.0,-0.0029968350825365633,0.17799101033649745,-0.8728489837978668
KNN,1631618760,-0.0002864697016775608,1.6666666666666665,-0.0019531363683442274,0.1776535516031874,-0.8730973270718831
KNN,1631619960,0.0006856123800389469,1.6666666666666665,-0.0009810542866277197,0.1784609654575633,-0.8732218254831438
KNN,1631621160,-0.002414017915725708,1.3333333333333333,-0.003747351249059041,0.17561613957396527,-0.8736969078337729
KNN,1631622360,0.0037857689894735813,1.0,0.0027857689894735813,0.18006675069868905,-0.8733450565963415
KNN,1631623560,0.004629989620298147,1.6666666666666665,0.0029633229536314806,0.18553044750568293,-0.8729697370953626
KNN,1631624760,0.0010741353034973145,1.6666666666666665,-0.0005925313631693521,0.18680386761271972,-0.8730450065102052
KNN,1631625960,-0.0020450453157536685,1.3333333333333333,-0.0033783786490870016,0.18437679992254008,-0.8734739085496062
KNN,1631627160,-0.000820765970274806,1.3333333333333333,-0.002154099303608139,0.1834047037491806,-0.8737464583150877
KNN,1631628360,0.0008516409434378147,1.3333333333333333,-0.0004816923898955186,0.18441253964755022,-0.8738072736853146
KNN,1631629560,-0.0007016460876911879,1.6666666666666665,-0.0023683127543578544,0.18358150122289407,-0.8741061375285529
KNN,1631630760,0.0003603298682719469,1.6666666666666665,-0.0013063367983947196,0.18400798098931892,-0.8742705973137914
KNN,1631631960,-0.005324532394297421,1.6666666666666665,-0.006991199060964088,0.1777036921394346,-0.8751495965957868
KNN,1631633160,0.00020655990101658972,1.3333333333333333,-0.0011267734323167436,0.17794695849750974,-0.8752902747133567
KNN,1631634360,0.0010909239354077727,1.0,9.092393540777264e-05,0.17923200902917547,-0.87527893561435
KNN,1631635560,0.0016278524417430162,1.6666666666666665,-3.8814224923650314e-05,0.18115162473445512,-0.8752837765657958
KNN,1631636760,0.002010623546084389,1.3333333333333333,0.0006772902127510558,0.18352647600264205,-0.8751993074882926
KNN,1631637960,0.001255551993381232,2.0,-0.000744448006618768,0.1850124550288066,-0.8752922151150575
KNN,1631639160,0.00010152661707252264,1.6666666666666665,-0.001565140049594144,0.18513276533455447,-0.8754874002636772
KNN,1631640360,0.0004614591598510742,1.6666666666666665,-0.0012052075068155923,0.18567965570475775,-0.8756374637835725
KNN,1631641560,0.00011831521987915039,1.0,-0.0008816847801208496,0.18581993965392862,-0.8757471123389717
KNN,1631642760,-0.00026871764566749334,2.0,-0.0022687176456674934,0.18550128891155926,-0.8760290070577335
KNN,1631643960,-0.00029467541025951505,1.6666666666666665,-0.0019613420769261816,0.18515195083288605,-0.8762721565825095
KNN,1631645160,0.0023411113070324063,1.3333333333333333,0.001007777973699073,0.1879265234655325,-0.87614746638718
KNN,1631646360,0.0009645025129429996,1.3333333333333333,-0.0003688308203903337,0.1890722815826067,-0.8761931470187598
KNN,1631647560,0.0002548794145695865,1.6666666666666665,-0.00141178725209708,0.1893753516296175,-0.8763679359555211
KNN,1631648760,0.00017207862401846796,1.6666666666666665,-0.0014945880426481986,0.18958001770356736,-0.8765527149601299
KNN,1631649960,0.0001919865608215332,1.0,-0.0008080134391784668,0.1898084010799883,-0.8766524620254722
KNN,1631651160,0.0024728775024414062,1.3333333333333333,0.001139544169108073,0.1927506515072348,-0.8765119020577995
KNN,1631652360,0.0018415450686006807,1.6666666666666665,0.00017487840193401412,0.19494715558758813,-0.8764903066565735
KNN,1631653560,-0.003427465446293354,0.6666666666666666,-0.004094132112960021,0.19085151550166524,-0.8769959716583526
KNN,1631654760,0.0025004347262438387,1.6666666666666665,0.0008337680595771721,0.1938291619848258,-0.8768934148283221
KNN,1631655960,0.00026595592498779297,1.6666666666666665,-0.0014007107416788736,0.1941466679238788,-0.8770658515445434
KNN,1631657160,-0.0005378028145059943,1.3333333333333333,-0.0018711361478393276,0.1935044524849363,-0.8772958780735223
KNN,1631658360,0.0018280546646565199,1.0,0.0008280546646565199,0.19568624386658962,-0.8771942723529884
KNN,1631659560,-0.00022668647579848766,1.3333333333333333,-0.001560019809131821,0.19541519796580675,-0.8773858517207926
KNN,1631660760,-0.0003113945422228426,1.3333333333333333,-0.0016447278755561759,0.19504295219746992,-0.877587518628405
KNN,1631661960,0.0018528799701016396,1.3333333333333333,0.0005195466367683063,0.1972572233470078,-0.87752391963541
KNN,1631663160,-0.00560917443362996,1.6666666666666665,-0.007275841100296627,0.19054159873933085,-0.8784150361347299
KNN,1631664360,0.0015340845166065264,1.0,0.0005340845166065264,0.19236799017233275,-0.8783500994880773
KNN,1631665560,-0.0006610054988414049,1.3333333333333333,-0.001994338832174738,0.1915798283741863,-0.8785927106085983
KNN,1631666760,8.814531611278653e-05,1.3333333333333333,-0.0012451880172205468,0.19168486055483203,-0.8787438855105518
KNN,1631667960,0.0018126766080968082,1.6666666666666665,0.00014600994143014164,0.19384499982578296,-0.8787261809123771
KNN,1631669160,0.0024930337676778436,1.6666666666666665,0.000826367101011177,0.1968212957237221,-0.8786259642180692
KNN,1631670360,0.0035793086672128993,2.0,0.0015793086672128993,0.20110508856061093,-0.8784342771513841
KNN,1631671560,0.0005691548140021041,2.0,-0.001430845185997896,0.20178870330388765,-0.8786082188807044
KNN,1631672760,0.0017926294822245836,2.0,-0.00020737051777541642,0.20394306516483462,-0.8786333919572088
KNN,1631673960,0.002794285712298006,1.3333333333333333,0.0014609523789646725,0.2073072260702451,-0.8784560811224619
KNN,1631675160,0.003746718284673989,2.0,0.0017467182846739888,0.21183066612938162,-0.8782437781369675
KNN,1631676360,0.0009403328294865787,1.3333333333333333,-0.0003930005038467546,0.2129701902885217,-0.8782916283935062
KNN,1631677560,0.0017628073692321777,2.0,-0.0002371926307678223,0.21510842307862132,-0.8783204967223539
KNN,1631678760,-0.001224090658070054,1.6666666666666665,-0.0028907573247367205,0.21362102020938845,-0.8786722426377241
KNN,1631679960,0.000717421411536634,1.3333333333333333,-0.0006159119217966993,0.2144916979147775,-0.8787469698499284
KNN,1631681160,0.0011013249750249088,1.6666666666666665,-0.0005653416916417578,0.21582924795365144,-0.8788155192431102
KNN,1631682360,0.00012810032058041543,1.6666666666666665,-0.0015385663460862511,0.21598499607008526,-0.8790019696068707
KNN,1631683560,0.001589189010701375,1.6666666666666665,-7.747765596529147e-05,0.21791742606301767,-0.879011344250642
KNN,1631684760,0.0001376668515149504,1.3333333333333333,-0.001195666481818383,0.21808509292046896,-0.8791560063310017
KNN,1631685960,-0.0002886455040425062,2.0,-0.0022886455040425063,0.2177334981348562,-0.8794325753938028
KNN,1631687160,0.0021723111858591437,1.0,0.0011723111858591437,0.2203787942342499,-0.8792912328532867
KNN,1631688360,-0.0006028811185387895,2.0,-0.0026028811185387895,0.21964305090174085,-0.879605423424135
KNN,1631689560,-4.0630460716784e-05,1.0,-0.001040630460716784,0.21959349624267266,-0.879730709687825
KNN,1631690760,0.0008206566562876105,1.3333333333333333,-0.0005126766770457228,0.2205943637633292,-0.8797923689479328
KNN,1631691960,-0.0011628269785433076,1.6666666666666665,-0.002829493645209974,0.21917502370728736,-0.8801324956761004
KNN,1631693160,0.00041943800169974566,1.6666666666666665,-0.001247228664966921,0.21968639204295348,-0.8802819978634913
KNN,1631694360,-0.004582047287840396,1.6666666666666665,-0.006248713954507063,0.21409773131827725,-0.8810300814140473
KNN,1631695560,0.0015306869754567742,1.6666666666666665,-0.00013597969120989232,0.21595613490253784,-0.88104625890684
KNN,1631696760,-0.0007756551494821906,1.3333333333333333,-0.0021089884828155237,0.2150129722649563,-0.8812971309767932
KNN,1631697960,9.617209434509277e-05,1.0,-0.0009038279056549072,0.2151298226071554,-0.8814044179422977
KNN,1631699160,-0.000841548026073724,1.3333333333333333,-0.002174881359407057,0.21410723250351693,-0.881662349263023
KNN,1631700360,-0.002227524877525866,1.3333333333333333,-0.003560858210859199,0.21140277843913124,-0.8820837328583035
KNN,1631701560,-0.0001791913527995348,1.3333333333333333,-0.001512524686132868,0.21118570553647764,-0.882262084123252
KNN,1631702760,-0.0033251544227823615,2.0,-0.0053251544227823615,0.20715832603090223,-0.8828890567067122
KNN,1631703960,-5.4468633607029915e-05,2.0,-0.00205446863360703,0.20709257376633605,-0.8831296574663604
KNN,1631705160,-0.0003854433889500797,2.0,-0.0023854433889500797,0.20662730791392714,-0.8834084450523216
KNN,1631706360,0.0008041659602895379,1.3333333333333333,-0.0005291673730437954,0.20759763652170737,-0.8834701414991724
KNN,1631707560,-0.0014733473653905094,1.6666666666666665,-0.003140014032057176,0.20581842572548625,-0.8838360468900186
KNN,1631708760,-0.001281321281567216,0.6666666666666666,-0.0019479879482338825,0.20427338491489833,-0.884062332870696
KNN,1631709960,-0.00188451015856117,2.0,-0.00388451015856117,0.2020039194873413,-0.8845126939164197
KNN,1631711160,0.0013733110390603542,2.0,-0.0006266889609396458,0.2036546447389671,-0.884585068536271
KNN,1631712360,0.00233733665663749,1.3333333333333333,0.0010040033233041565,0.20646799086204748,-0.8844691915615225
KNN,1631713560,-0.002900580642744899,1.3333333333333333,-0.004233913976078232,0.20296853316166175,-0.8849583390660378
KNN,1631714760,0.0005209347000345588,2.0,-0.0014790652999654413,0.20359520121363528,-0.8851284931947756
KNN,1631715960,0.0010396142024546862,1.6666666666666665,-0.0006270524642119804,0.20484647587882332,-0.8852005236561855
KNN,1631717160,0.001479645725339651,1.3333333333333333,0.00014631239200631782,0.20662922181654797,-0.8851837270702007
KNN,1631718360,-0.0015237729530781507,1.6666666666666665,-0.0031904396197448173,0.20479059284395018,-0.8855500414563473
KNN,1631719560,3.329913306515664e-05,2.0,-0.0019667008669348434,0.20483071132621689,-0.8857751302890358
KNN,1631720760,0.0031413236865773797,1.3333333333333333,0.0018079903532440464,0.20861547457802176,-0.8855686128264978
KNN,1631721960,-0.003376781940460205,1.6666666666666665,-0.005043448607126872,0.204534243670506,-0.8861457416467495
KNN,1631723160,-0.00441123048949521,1.0,-0.00541123048949521,0.19922076548918555,-0.8867618332809095
KNN,1631724360,-0.0030893683433532715,1.3333333333333333,-0.0044227016766866046,0.1955159308195913,-0.887262651910723
KNN,1631725560,0.003227402805350721,1.0,0.002227402805350721,0.19937434228855988,-0.8870115404253212
KNN,1631726760,0.0011285146174486727,1.3333333333333333,-0.00020481871588466064,0.2007278537656254,-0.887034682576521
KNN,1631727960,0.0015360114630311728,1.6666666666666665,-0.0001306552036354938,0.20257218551299028,-0.8870494420830727
KNN,1631729160,0.0002486506709828973,1.6666666666666665,-0.0014180159956837693,0.20287120589382335,-0.8872096077809203
KNN,1631730360,0.00029643374728038907,2.0,-0.001703566252719611,0.20322777751288212,-0.8874017536867358
KNN,1631731560,5.591911030933261e-05,1.3333333333333333,-0.0012774142230240007,0.20329506093970018,-0.8875455882880638
KNN,1631732760,-0.0026671886444091797,2.0,-0.00466718864440918,0.20008564601728818,-0.8880704342414195
